Date,Close,VIX,Oil
05-01-2016,7784.649902,16.70000076,35.97000122
06-01-2016,7741,16.54999924,33.97000122
07-01-2016,7568.299805,18.95999908,33.27000046
08-01-2016,7601.350098,17.79999924,33.15999985
11-01-2016,7563.850098,18.69000053,31.40999985
12-01-2016,7510.299805,18.70999908,30.44000053
13-01-2016,7562.399902,18.35000038,30.47999954
14-01-2016,7536.799805,18.61000061,31.20000076
15-01-2016,7437.799805,19.42000008,29.42000008
19-01-2016,7435.100098,18.43000031,28.45999908
20-01-2016,7309.299805,20.96999931,26.54999924
21-01-2016,7276.799805,20.80999947,29.53000069
22-01-2016,7422.450195,18.81999969,32.18999863
25-01-2016,7436.149902,18.27000046,30.34000015
27-01-2016,7437.75,19.05999947,32.29999924
28-01-2016,7424.649902,17.89999962,33.22000122
29-01-2016,7563.549805,17.23999977,33.61999893
01-02-2016,7555.950195,17.88999939,31.62000084
02-02-2016,7455.549805,18.04000092,29.87999916
03-02-2016,7361.799805,18.59000015,32.27999878
04-02-2016,7404,18.20999908,31.71999931
05-02-2016,7489.100098,18.11000061,30.88999939
08-02-2016,7387.25,20.26000023,29.69000053
09-02-2016,7298.200195,21.72999954,27.94000053
10-02-2016,7215.700195,22.46999931,27.45000076
11-02-2016,6976.350098,25.96999931,26.20999908
12-02-2016,6980.950195,24.67000008,29.44000053
16-02-2016,7048.25,23.04000092,29.04000092
17-02-2016,7108.450195,21.82999992,30.65999985
18-02-2016,7191.75,21.48999977,30.77000046
19-02-2016,7210.75,20.92000008,29.63999939
22-02-2016,7234.549805,21.02000046,31.47999954
23-02-2016,7109.549805,23.84000015,31.87000084
24-02-2016,7018.700195,22.95999908,32.15000153
25-02-2016,6970.600098,22.75,33.06999969
26-02-2016,7029.75,21.87000084,32.77999878
29-02-2016,6987.049805,20.15999985,33.75
01-03-2016,7222.299805,18.67000008,34.40000153
02-03-2016,7368.850098,18.98999977,34.65999985
03-03-2016,7475.600098,18.04000092,34.56999969
04-03-2016,7485.350098,17.87999916,35.91999817
08-03-2016,7485.299805,18.46999931,36.5
09-03-2016,7531.799805,17.51000023,38.29000092
10-03-2016,7486.149902,17.89999962,37.84000015
11-03-2016,7510.200195,17.10000038,38.5
14-03-2016,7538.75,17.10000038,37.18000031
15-03-2016,7460.600098,17.60000038,36.34000015
16-03-2016,7498.75,17.11000061,38.45999908
17-03-2016,7512.549805,16.84000015,40.20000076
18-03-2016,7604.350098,16.37999916,39.43999863
21-03-2016,7704.25,16.32999992,39.90999985
22-03-2016,7714.899902,16.43000031,41.45000076
23-03-2016,7716.5,16.35000038,39.79000092
28-03-2016,7615.100098,17.48999977,39.38999939
29-03-2016,7597,17.63999939,38.27999878
30-03-2016,7735.200195,16.80999947,38.31999969
31-03-2016,7738.399902,16.57999992,38.34000015
01-04-2016,7713.049805,17.28000069,36.79000092
04-04-2016,7758.799805,17.45000076,35.70000076
05-04-2016,7603.200195,17.82999992,35.88999939
06-04-2016,7614.350098,17.35000038,37.75
07-04-2016,7546.450195,16.93000031,37.25999832
08-04-2016,7555.200195,16.43000031,39.72000122
11-04-2016,7671.399902,16.01000023,40.36000061
12-04-2016,7708.950195,16.02000046,42.16999817
13-04-2016,7850.450195,16.04000092,41.75999832
18-04-2016,7914.700195,16.95000076,39.77999878
20-04-2016,7914.75,17.07999992,42.63000107
21-04-2016,7912.049805,16.51000023,43.18000031
22-04-2016,7899.299805,16.37999916,43.72999954
25-04-2016,7855.049805,16.56999969,42.63999939
26-04-2016,7962.649902,16.57999992,44.04000092
27-04-2016,7979.899902,16.35000038,45.33000183
28-04-2016,7847.25,16.60000038,46.02999878
29-04-2016,7849.799805,16.54000092,45.91999817
02-05-2016,7805.899902,17.09000015,44.77999878
03-05-2016,7747,17.45999908,43.65000153
04-05-2016,7706.549805,17.45000076,43.77999878
05-05-2016,7735.5,17.17000008,44.31999969
06-05-2016,7733.450195,16.95000076,44.65999985
09-05-2016,7866.049805,16.61000061,43.43999863
10-05-2016,7887.799805,16.42000008,44.65999985
11-05-2016,7848.850098,16.95999908,46.22999954
12-05-2016,7900.399902,16.32999992,46.70000076
13-05-2016,7814.899902,17,46.20999908
16-05-2016,7860.75,17.03000069,47.72000122
17-05-2016,7890.75,16.37000084,48.31000137
18-05-2016,7870.149902,16.45000076,48.18999863
19-05-2016,7783.399902,17.05999947,48.15999985
20-05-2016,7749.700195,16.43000031,47.75
23-05-2016,7731.049805,16.15999985,48.08000183
24-05-2016,7748.850098,16.21999931,48.61999893
25-05-2016,7934.899902,15.52000046,49.56000137
26-05-2016,8069.649902,15.32999992,49.47999954
27-05-2016,8156.649902,15.26000023,49.33000183
31-05-2016,8160.100098,16.04999924,49.09999847
01-06-2016,8179.950195,15.84000015,49.00999832
02-06-2016,8218.950195,15.09000015,49.16999817
03-06-2016,8220.799805,15,48.61999893
06-06-2016,8201.049805,15.35999966,49.68999863
07-06-2016,8266.450195,14.86999989,50.36000061
08-06-2016,8273.049805,15.14000034,51.22999954
09-06-2016,8203.599609,15.67000008,50.56000137
10-06-2016,8170.049805,15.97000027,49.06999969
13-06-2016,8110.600098,16.57999992,48.88000107
14-06-2016,8108.850098,17.19000053,48.49000168
15-06-2016,8206.599609,17.05999947,48.00999832
16-06-2016,8140.75,17.70000076,46.20999908
17-06-2016,8170.200195,17.35000038,47.97999954
20-06-2016,8238.5,17.52000046,49.36999893
21-06-2016,8219.900391,17.26000023,48.84999847
22-06-2016,8203.700195,18.18000031,49.13000107
23-06-2016,8270.450195,18.02000046,50.11000061
24-06-2016,8088.600098,18.62999916,47.63999939
27-06-2016,8094.700195,18.53000069,46.33000183
28-06-2016,8127.850098,17.72999954,47.84999847
29-06-2016,8204,16.15999985,49.88000107
30-06-2016,8287.75,16.29000092,48.33000183
01-07-2016,8328.349609,15.73999977,48.99000168
05-07-2016,8335.950195,15.35999966,46.59999847
07-07-2016,8337.900391,15.31000042,45.13999939
08-07-2016,8323.200195,15.07999992,45.40999985
11-07-2016,8467.900391,14.85000038,44.75999832
12-07-2016,8521.049805,14.77999973,46.79999924
13-07-2016,8519.5,15.32999992,44.75
14-07-2016,8565,15.60999966,45.68000031
15-07-2016,8541.400391,15.64000034,45.95000076
18-07-2016,8508.700195,15.98999977,45.24000168
19-07-2016,8528.549805,15.80000019,44.65000153
20-07-2016,8565.849609,15.98999977,44.93999863
21-07-2016,8510.099609,15.71000004,44.75
22-07-2016,8541.200195,15.5,44.18999863
25-07-2016,8635.650391,15.72000027,43.13000107
26-07-2016,8590.650391,15.61999989,42.91999817
27-07-2016,8615.799805,15.43000031,41.91999817
28-07-2016,8666.299805,15.14999962,41.13999939
29-07-2016,8638.5,14.92000008,41.59999847
01-08-2016,8636.549805,15.18000031,40.06000137
02-08-2016,8622.900391,15.68999958,39.50999832
03-08-2016,8544.849609,16.23999977,40.83000183
04-08-2016,8551.099609,15.14000034,41.93000031
05-08-2016,8683.150391,14.35000038,41.79999924
08-08-2016,8711.349609,14.59000015,43.02000046
09-08-2016,8678.25,14.53999996,42.77000046
10-08-2016,8575.299805,14.92000008,41.70999908
11-08-2016,8592.150391,14.21000004,43.49000168
16-08-2016,8642.549805,14.18000031,46.58000183
17-08-2016,8624.049805,14.77999973,46.79000092
18-08-2016,8673.25,14.55000019,48.22000122
19-08-2016,8666.900391,14.53999996,48.52000046
22-08-2016,8629.150391,14.23999977,47.04999924
23-08-2016,8632.599609,13.89999962,48.09999847
24-08-2016,8650.299805,13.48999977,46.77000046
25-08-2016,8592.200195,13.28999996,47.33000183
26-08-2016,8572.549805,13.56999969,47.63999939
29-08-2016,8607.450195,13.17000008,46.97999954
30-08-2016,8744.349609,13.02000046,46.34999847
31-08-2016,8786.200195,13.23999977,44.70000076
01-09-2016,8774.650391,13.34000015,43.15999985
02-09-2016,8809.650391,12.93999958,44.43999863
06-09-2016,8943,12.75,44.83000183
07-09-2016,8917.950195,13.14999962,45.5
08-09-2016,8952.5,13.11999989,47.61999893
09-09-2016,8866.700195,13.22999954,45.88000107
12-09-2016,8715.599609,15.23999977,46.29000092
14-09-2016,8726.599609,14.76000023,43.58000183
15-09-2016,8742.549805,14.68000031,43.90999985
16-09-2016,8779.849609,14.57999992,43.02999878
19-09-2016,8808.400391,14.93999958,43.29999924
20-09-2016,8775.900391,14.77999973,43.43999863
21-09-2016,8777.150391,14.81000042,45.34000015
22-09-2016,8867.450195,13.34000015,46.31999969
23-09-2016,8831.549805,13.25,44.47999954
26-09-2016,8723.049805,14.56999969,45.93000031
27-09-2016,8706.400391,14.25,44.66999817
28-09-2016,8745.150391,13.85000038,47.04999924
29-09-2016,8591.25,18.45000076,47.83000183
30-09-2016,8611.150391,17.18000031,48.24000168
03-10-2016,8738.099609,15.61999989,48.81000137
04-10-2016,8769.150391,14.98999977,48.68999863
05-10-2016,8743.950195,14.93000031,49.83000183
06-10-2016,8709.549805,14.84000015,50.43999863
07-10-2016,8697.599609,14.48999977,49.81000137
13-10-2016,8573.349609,15.43000031,50.43999863
14-10-2016,8583.400391,14.89000034,50.34999847
17-10-2016,8520.400391,15.65999985,49.93999863
18-10-2016,8677.900391,14.53999996,50.29000092
19-10-2016,8659.099609,14.60999966,51.59999847
20-10-2016,8699.400391,14.17000008,50.43000031
21-10-2016,8693.049805,13.82999992,50.84999847
